date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) cs(Referer) sc-status sc-substatus sc-win32-status time-taken
2020-06-19 06:10:00 10.211.123.224 GET /services/printing/legacy/MediaLibrary/images/icon_picasa_tab_on.png - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 0
2020-06-19 06:10:00 10.211.123.224 GET /services/printing/legacy/images/tools/icon-trash.svg - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 62
2020-06-19 06:10:00 10.211.123.224 GET /services/printing/App_Themes/images/splash/btn_business_fr_on.gif - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 0
2020-06-19 06:10:00 10.211.123.224 GET /services/printing/legacy/fonts/helvetica-neue/hll_____-webfont.svg - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 31
2020-06-19 06:10:00 10.211.123.224 GET /services/printing/legacy/fonts/helvetica-neue/helveticaneueltstd-blkcn.woff2 - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 0
2020-06-19 06:10:01 10.211.123.224 GET /services/printing/App_Themes/images/bak_content_sprite.gif - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 31
2020-06-19 06:10:01 10.211.123.224 GET /services/printing/legacy/fonts/helvetica-neue/hlb_____-webfont.eot - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 31
2020-06-19 06:10:01 10.211.123.224 GET /services/printing/legacy/fonts/helvetica-neue/hll_____-webfont.eot - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 124
2020-06-19 06:10:01 10.211.123.224 GET /services/printing/legacy/MediaLibrary/images/icon_nav_prev.png - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 15
2020-06-19 06:10:01 10.211.123.224 GET /services/printing/legacy/MediaLibrary/images/icon_tumblr_tab_on.png - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 15
2020-06-19 06:10:02 10.211.123.224 GET /services/printing/legacy/images/account/icon-orders.png - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 0
2020-06-19 06:10:02 10.211.123.224 GET /services/printing/legacy/MediaLibrary/images/icon_carousel_next.png - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 0
2020-06-19 06:10:02 10.211.123.224 GET /services/printing/App_Themes/images/bak_content_lgrey_btm.gif - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 0
2020-06-19 06:10:02 10.211.123.224 GET /services/printing/App_Themes/images/bak_container_top.gif - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 16
2020-06-19 06:10:02 10.211.123.224 GET /services/printing/App_Themes/images/popup/bak_popup_xwide_dgrey_main.gif - 80 - 10.211.112.103 FullStoryBot/1.0+(+https://www.fullstory.com) https://splus-wip3.pnistaging.com/services/printing/Cart 200 0 0 0
2020-06-19 06:10:50 10.211.123.224 GET /services/printing/legacy/TaggingApiController/EnsightenTaggingData - 80 24f19e79ed2d4819b6776356bae93d6f 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/ 200 0 0 312
2020-06-19 06:11:40 10.211.123.224 GET /services/printing/legacy/TaggingApiController/EnsightenTaggingData - 80 24f19e79ed2d4819b6776356bae93d6f 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/same-day-services/postcards/ 200 0 0 78
2020-06-19 06:12:02 10.211.123.224 GET /services/printing/MediaService/providers authorizationToken=19FHtHy7sGiqFkKYUBzjh36Pru6u3PKg9C8UKdgNhZszZ1AJfqSueSLfxJKN33sTcptwKo_gkHwBcdfcljNtnOMkgkM7gXGwOq1WRTaogmDTg2rI41,,dGR24fQpwbZpObSeyHRv0KOa191YK6zt4a636t2mnW,_0X4CXw1gzzfo- 80 - 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/Builder/Group/2017843 200 0 0 218
2020-06-19 06:12:04 10.211.123.224 GET /services/printing/MediaService/MediaProviders authorizationToken=1cc_lJ7qd5opVFzr,B57rIr8,uqXHJggnKO_KIUOMDeOOjf3i5hwV,BCNBfow_HYF1qn9W8FMaM_cNXI4PzauYXb1uK5U5Kvp1ZB,v61nO7741vW81h,7seJ_NoKPp,EsNfrVScwhpVzspExKuRlZGCIiqFYZZOZjiUdqbDzJM9A- 80 - 10.211.112.103 - - 200 0 0 1577
2020-06-19 06:12:05 10.211.123.224 GET /services/printing/MediaService/mediaproviders authorizationToken=19FHtHy7sGiqFkKYUBzjh36Pru6u3PKg9C8UKdgNhZszZ1AJfqSueSLfxJKN33sTcptwKo_gkHwBcdfcljNtnOMkgkM7gXGwOq1WRTaogmDTg2rI41,,dGR24fQpwbZpObSeyHRv0KOa191YK6zt4a636t2mnW,_0X4CXw1gzzfo- 80 - 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/Builder/Group/2017843 200 0 0 2874
2020-06-19 06:12:08 10.211.123.224 GET /services/printing/MediaService/MediaProviders authorizationToken=1xD_sg93os9jOPqP242eSDBp8CZ8uO9qv5GlQcRhslhSpu7mcFmMJWiopQlcGMKi7J,SsX8Bn,Qhb4ND6t_xmhaueLkHTuiXF9BFgPiN_neffhMT03NFEITDZLaGZJwdN5noRxp_QeApYyjD4GTPkBzf4Gb5pmfka,Ed6WILYWI0- 80 - 10.211.112.103 - - 200 0 0 3781
2020-06-19 06:12:09 10.211.123.224 GET /services/printing/MediaService/MediaProviders/279722/Containers/root/Content authorizationToken=1cc_lJ7qd5opVFzr,B57rIr8,uqXHJggnKO_KIUOMDeOOjf3i5hwV,BCNBfow_HYF1qn9W8FMaM_cNXI4PzauYXb1uK5U5Kvp1ZB,v61nO7741vW81h,7seJ_NoKPp,EsNfrVScwhpVzspExKuRlZGCIiqFYZZOZjiUdqbDzJM9A- 80 - 10.211.112.103 - - 200 0 0 4843
2020-06-19 06:12:09 10.211.123.224 GET /services/printing/MediaService/MediaProviders/279722/Containers/root/Content authorizationToken=1xD_sg93os9jOPqP242eSDBp8CZ8uO9qv5GlQcRhslhSpu7mcFmMJWiopQlcGMKi7J,SsX8Bn,Qhb4ND6t_xmhaueLkHTuiXF9BFgPiN_neffhMT03NFEITDZLaGZJwdN5noRxp_QeApYyjD4GTPkBzf4Gb5pmfka,Ed6WILYWI0- 80 - 10.211.112.103 - - 200 0 0 2031
2020-06-19 06:12:11 10.211.123.224 GET /services/printing/legacy/RikApiController/IsInKioskMode format=json 80 24f19e79ed2d4819b6776356bae93d6f 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/review/group/2017843 200 0 0 62
2020-06-19 06:12:11 10.211.123.224 GET /services/printing/legacy/TaggingApiController/EnsightenTaggingData - 80 24f19e79ed2d4819b6776356bae93d6f 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/review/group/2017843 200 0 0 171
2020-06-19 06:12:13 10.211.123.224 GET /services/printing/MediaService/mediaproviders/279722/containers/root/content $top=undefined&authorizationToken=19FHtHy7sGiqFkKYUBzjh36Pru6u3PKg9C8UKdgNhZszZ1AJfqSueSLfxJKN33sTcptwKo_gkHwBcdfcljNtnOMkgkM7gXGwOq1WRTaogmDTg2rI41,,dGR24fQpwbZpObSeyHRv0KOa191YK6zt4a636t2mnW,_0X4CXw1gzzfo- 80 - 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/Builder/Group/2017843 200 0 0 1999
2020-06-19 06:12:13 10.211.123.224 GET /services/printing/MediaService/MediaProviders authorizationToken=1sj7m8TpGhoLt0tQcriSsSoYmJHNq2LhLhJlBLGGQDs4oc8L_AywSf2jJJ76,iLyOzeCF7ib9zRDtXPe,lEe5GEvJ2i9s,OpHon3NfjfZrYPZFyh2D3Wjx1usfEB,myRe_xzbjxX3InSscXSEo2RwGiNE,cLop0hb,AGTbIt9E5U- 80 - 10.211.112.103 - - 200 0 0 2609
2020-06-19 06:12:15 10.211.123.224 GET /services/printing/MediaService/MediaProviders/279722/Containers/root/Content authorizationToken=1sj7m8TpGhoLt0tQcriSsSoYmJHNq2LhLhJlBLGGQDs4oc8L_AywSf2jJJ76,iLyOzeCF7ib9zRDtXPe,lEe5GEvJ2i9s,OpHon3NfjfZrYPZFyh2D3Wjx1usfEB,myRe_xzbjxX3InSscXSEo2RwGiNE,cLop0hb,AGTbIt9E5U- 80 - 10.211.112.103 - - 200 0 0 1687
2020-06-19 06:12:17 10.211.123.224 GET /services/printing/cart/api/Info - 80 24f19e79ed2d4819b6776356bae93d6f 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/AddFinishings/group/2017843/2017842 200 0 0 156
2020-06-19 06:12:17 10.211.123.224 GET /services/printing/legacy/TaggingApiController/EnsightenTaggingData - 80 24f19e79ed2d4819b6776356bae93d6f 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/AddFinishings/group/2017843/2017842 200 0 0 93
2020-06-19 06:12:18 10.211.123.224 GET /services/printing/legacy/StoreLocatorProxy/GetDefaultStore - 80 24f19e79ed2d4819b6776356bae93d6f 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/AddFinishings/group/2017843/2017842 200 0 0 1140
2020-06-19 06:12:18 10.211.123.224 GET /services/printing/cart/api/ShippingMethods/Estimate retailerProductSku=PNI_PostCards&quantity=100&price=35.99&orderDate=2020-06-18T23%3A12%3A36-07%3A00 80 24f19e79ed2d4819b6776356bae93d6f 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/AddFinishings/group/2017843/2017842 200 0 0 281
2020-06-19 06:12:18 10.211.123.224 GET /services/printing/legacy/TaggingApiController/EnsightenTaggingData - 80 24f19e79ed2d4819b6776356bae93d6f 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/AddFinishings/group/2017843/2017842 200 0 0 109
2020-06-19 06:12:18 10.211.123.224 POST /services/printing/cart/api/StorePromiseTime - 80 24f19e79ed2d4819b6776356bae93d6f 10.211.112.103 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/83.0.4103.106+Safari/537.36 https://splus-wip3.pnistaging.com/services/printing/AddFinishings/group/2017843/2017842 200 0 0 578
